,id,success,conc_max,min_distance,t_sim,reverse_jaccard,ctm_x,ctm_y,com_distance,var,jaccard_sim,wass,NWD,similarity,Spearman,Pearson,sum_mass,sum_dist,class_0_mf,class_0_ig,class_0_jaccard,class_1_mf,class_1_ig,class_1_jaccard,class_2_mf,class_2_ig,class_2_jaccard,class_3_mf,class_3_ig,class_3_jaccard
0,0,True,0.860075291934133,109399.61397307088,518.0833333333335,[0.93221203 0.03937008 0.09090909 0.        ],1050,2550,354.2087627217837,231077.5493712361,0.26666666666666666,443.8912858845175,0.32040073034259015,0.2935336985046284,0.9280716955179239,0.293833435417422,52.88312719649438,547020114.7427081,1766,1896,0.9322120285423038,145,66,0.03937007874015748,76,24,0.09090909090909091,13,14,0.0
1,1,True,2.35670834039081,83735.65730453221,426.8333333333334,[0.95759912 0.15       0.30081301 0.65168539],1050,2550,12.722499902956164,16270.889754700405,0.5862068965517241,66.96040361418017,0.842237411905595,0.7142221542286595,0.9333390353347589,0.16885437607658454,47.020728595462955,574709199.6104348,1948,1778,0.9575991189427313,29,69,0.15,12,80,0.3008130081300813,11,73,0.651685393258427
2,2,True,1.1670926948483307,124970.22035096485,487.6666666666668,[0.95035824 0.08641975 0.11111111 0.10714286],1050,2550,107.56371934897523,47854.54462148244,0.2619047619047619,223.4485293820903,0.5638624460944217,0.4128836039995918,0.9198088339522084,0.2258550385681782,44.876567089667134,657244806.4975361,1895,1906,0.9503582395087001,62,44,0.08641975308641975,32,35,0.1111111111111111,11,15,0.10714285714285714
3,3,True,1.3558452655433464,216958.88228666724,974.3333333333329,[0.921875   0.07042254 0.02040816 0.        ],1050,2550,389.61554015113256,43776.30732601111,0.0,413.6755382910528,0.34621112282353045,0.17310556141176522,0.9272061233015308,0.2375049722043316,54.28497762816196,792685085.1488087,1825,1907,0.921875,124,38,0.07042253521126761,36,25,0.02040816326530612,15,30,0.0
4,4,True,1.112448174021407,127442.94420190214,609.3333333333334,[0.96961895 0.13846154 0.14893617 0.38235294],1050,2550,124.46058159363825,25599.93825154798,0.5,138.75320169420291,0.700628534601904,0.600314267300952,0.9506124171531044,0.27738567428797545,56.08471080378375,670425237.5727382,1835,1913,0.9696189495365602,111,37,0.13846153846153847,34,27,0.14893617021276595,20,23,0.38235294117647056
5,5,True,0.7767071877913125,107519.37479379977,366.00000000000006,[0.88010471 0.10982659 0.10569106 0.02531646],1050,2550,440.8622639606205,199857.41902107076,0.15527950310559005,554.569240952609,0.24123772697514187,0.19825861504036596,0.920240009060002,0.2631712267681532,37.99671054728778,594116288.2354877,1807,1796,0.8801047120418848,125,96,0.10982658959537572,56,68,0.10569105691056911,12,40,0.02531645569620253
6,6,True,0.6967085191434494,105672.9851094283,578.9166666666667,[0.87632696 0.04516129 0.07284768 0.06015038],1050,2550,468.37670962422544,99062.09412117749,0.0851063829787234,597.5081015120625,0.21608745798699686,0.15059692048286014,0.9278596299649075,0.26749323208197895,51.55614384738346,563952892.0425028,1726,1768,0.8763269639065817,151,81,0.04516129032258064,70,81,0.0728476821192053,53,70,0.06015037593984962
7,7,True,0.9657470604137925,117332.72222800022,609.3333333333334,[0.9042328  0.09302326 0.05691057 0.25757576],1050,2550,208.60212846829066,167656.82329168214,0.25862068965517243,360.23441759004413,0.39705598272311976,0.3278383361891461,0.936137860534465,0.2340118156472329,51.179201713707386,604959450.7147926,1868,1800,0.9042328042328043,66,94,0.09302325581395349,35,65,0.056910569105691054,31,41,0.25757575757575757
8,8,True,1.2298594001345415,132739.82834262308,518.0833333333335,[0.91789016 0.12987013 0.16083916 0.33      ],1050,2550,317.9001857827597,22353.573545851348,0.3333333333333333,478.6168342986632,0.29310550424031295,0.31321941878682313,0.955150579787645,0.23591587155589336,56.97348499555462,613394872.7677848,1861,1764,0.9178901576943991,85,87,0.12987012987012986,29,83,0.16083916083916083,25,66,0.33
9,9,True,1.0230031069860162,101639.75324046533,366.00000000000006,[0.91344086 0.11864407 0.23943662 0.52272727],1050,2550,319.0485856417483,201590.09824889715,0.47058823529411764,473.7879272417143,0.29675724269086007,0.3836727389924889,0.9452227418056854,0.25245612925507066,47.169660173546355,585734099.7712877,1839,1780,0.9134408602150538,118,99,0.11864406779661017,31,88,0.23943661971830985,12,33,0.5227272727272727
